INPUT_TABLE
Variable ID
GHGConstrLong

"region","ghgpolicy","market","year","value"
"Africa_Eastern","GHG","Africa_Eastern",2020,669.535153750922
"Africa_Eastern","GHG","Africa_Eastern",2025,630.116958071245
"Africa_Eastern","GHG","Africa_Eastern",2030,590.698762391569
"Africa_Eastern","GHG","Africa_Eastern",2035,546.869513969328
"Africa_Eastern","GHG","Africa_Eastern",2040,506.954087880329
"Africa_Eastern","GHG","Africa_Eastern",2045,468.90645564273
"Africa_Eastern","GHG","Africa_Eastern",2050,431.054753562086
"Africa_Eastern","GHG","Africa_Eastern",2055,393.107845606539
"Africa_Eastern","GHG","Africa_Eastern",2060,355.184138531703
"Africa_Eastern","GHG","Africa_Eastern",2065,317.56078251455
"Africa_Eastern","GHG","Africa_Eastern",2070,280.643763510251
"Africa_Eastern","GHG","Africa_Eastern",2075,244.849092477435
"Africa_Eastern","GHG","Africa_Eastern",2080,210.739830698798
"Africa_Eastern","GHG","Africa_Eastern",2085,178.998699385645
"Africa_Eastern","GHG","Africa_Eastern",2090,150.112857857691
"Africa_Eastern","GHG","Africa_Eastern",2095,124.360458817614
"Africa_Eastern","GHG","Africa_Eastern",2100,101.786105157828
"Africa_Northern","GHG","Africa_Northern",2020,876.90153266099
"Africa_Northern","GHG","Africa_Northern",2025,970.376816220869
"Africa_Northern","GHG","Africa_Northern",2030,1063.85209978075
"Africa_Northern","GHG","Africa_Northern",2035,1006.48765492572
"Africa_Northern","GHG","Africa_Northern",2040,936.233805691041
"Africa_Northern","GHG","Africa_Northern",2045,858.07021513227
"Africa_Northern","GHG","Africa_Northern",2050,775.325920201979
"Africa_Northern","GHG","Africa_Northern",2055,693.657234720297
"Africa_Northern","GHG","Africa_Northern",2060,615.449455996683
"Africa_Northern","GHG","Africa_Northern",2065,541.432313993737
"Africa_Northern","GHG","Africa_Northern",2070,470.995828415536
"Africa_Northern","GHG","Africa_Northern",2075,405.285172684703
"Africa_Northern","GHG","Africa_Northern",2080,345.594613431282
"Africa_Northern","GHG","Africa_Northern",2085,292.544198451055
"Africa_Northern","GHG","Africa_Northern",2090,246.15617607243
"Africa_Northern","GHG","Africa_Northern",2095,205.978967639481
"Africa_Northern","GHG","Africa_Northern",2100,171.357373702924
"Africa_Southern","GHG","Africa_Southern",2020,522.846840585968
"Africa_Southern","GHG","Africa_Southern",2025,489.891576782008
"Africa_Southern","GHG","Africa_Southern",2030,456.936312978048
"Africa_Southern","GHG","Africa_Southern",2035,417.263740829569
"Africa_Southern","GHG","Africa_Southern",2040,385.986397440659
"Africa_Southern","GHG","Africa_Southern",2045,361.61397958349
"Africa_Southern","GHG","Africa_Southern",2050,341.034943058925
"Africa_Southern","GHG","Africa_Southern",2055,321.728362460742
"Africa_Southern","GHG","Africa_Southern",2060,302.159570375759
"Africa_Southern","GHG","Africa_Southern",2065,281.775782851495
"Africa_Southern","GHG","Africa_Southern",2070,260.335583261212
"Africa_Southern","GHG","Africa_Southern",2075,237.845000499974
"Africa_Southern","GHG","Africa_Southern",2080,214.86680281472
"Africa_Southern","GHG","Africa_Southern",2085,191.897935318052
"Africa_Southern","GHG","Africa_Southern",2090,169.425889585145
"Africa_Southern","GHG","Africa_Southern",2095,147.889680679781
"Africa_Southern","GHG","Africa_Southern",2100,127.669707819657
"Africa_Western","GHG","Africa_Western",2020,1020.05922226832
"Africa_Western","GHG","Africa_Western",2025,834.715791907752
"Africa_Western","GHG","Africa_Western",2030,649.372361547187
"Africa_Western","GHG","Africa_Western",2035,515.097075639528
"Africa_Western","GHG","Africa_Western",2040,406.174403868623
"Africa_Western","GHG","Africa_Western",2045,318.321059402158
"Africa_Western","GHG","Africa_Western",2050,247.668099486001
"Africa_Western","GHG","Africa_Western",2055,191.226919846667
"Africa_Western","GHG","Africa_Western",2060,146.234692433266
